Sub ID,Sub Category
1,Accessories
2,Airfare
3,Alcohol
4,Apple Services
5,ATM Fee
6,Brows
7,Cable Internet
8,Car
10,Car Payment
11,Car Wash
12,Cart Rental
13,Cleaning service
14,Clothing
15,Club Membership
16,Concert
17,Copay
18,Court fee
19,Dance lesson
20,Decor
21,Delivery
22,Dental
23,Dine out
24,DL Renewal
25,DVD Rental
26,Educational
27,Electricity
28,Electronic
29,Exercise
30,Facial
31,Gas
32,Gifts
33,Grocery
34,Hair cut
35,Hobby
36,Home
37,Home Improvement
38,Home Maintenance
39,Home ware
40,Hotel
41,Itunes
42,Jewelry
43,Kid Center
44,Lyft
45,Maintenance
46,Massage
47,Medication
48,Movies
49,Music Lessons
50,Nails
51,Parking
53,Personal  
54,Personal Care
55,Phone
56,Political donation
57,Registration
58,Rent
59,Shipping fees
60,Shoes
61,Snacks
62,Sports
63,Take out
64,Toll Fee
65,Tour Package
66,Toys
67,TV Subscription
68,Uber
69,Vision
70,Vitamins
71,Water
,